compound_name,compound_address
AKB Kitzingen,"AKB Compound Kitzingen, Larson Barracks 53, 97318 Kitzingen"
AKB Dortmund,"AKB Compound Dortmund, Dammstraße 25, 44145 Dortmund"
AKB Zörbig,"AKB Compound Zörbig, Jeßnitzer Str. 26, 06780 Zoerbig"
AKB Schöneck,"AKB Compound Schöneck, Windecker Str. 2, 61137 Schoeneck"
AKB Buch,"AKB Compound Buch, An der Lehmgrube 1, 89290 Buch"
Mosolf Etzin,"ACM Auto-Service und Umschlag-Center Mosolf Etzin GmbH, Gewerbegebiet Etzin, 14669 Ketzin"
Mosolf Kippenheim,"Mosolf Compound, Freimatte 25, 77971 Kippenheim"
BLG Kelheim,"Hafenstraße 33, 93342 Saal an der Donau"
BLG Duisburg,"BLG AutoTerminal Duisburg GmbH & Co. KG, Rotterdamer Straße 100, 47229 Duisburg"
BLG Neuss,"ATN Autoterminal Neuss, Floßhafenstr. 30, 41460 Neuss"
Carservice Erkens,"Car Service Erkens, Im Müldersfeld 34, 47669  Wachtendonk"
ARS Altmann Wolnzach,"ARS Altmann AG Automobillogistik, Feierabendmühle 2, 85283 Wolnzach"
CAT Zülpich,"CAT Compound Zülpich, Richard-Lawson-Straße 1, 53909 Zülpich"
Autohaus Siebrecht,"Autohaus Siebrecht, Wiesenstraße 15, 37170 Uslar"
Neu: FleetParQ Essen ,"Joachimstraße 60, 45309 Essen"
Neu: FleetParQ Kassel,"Rudolf-Diesel-Straße 13, 34123 Kassel"